"id","driver_id","driver_name","position","date","avg_last_5","std_last_5","avg_last_10","std_last_10","last_race_position","target_next_race_position"
"289","47","Alexander Albon",4,"2026-01-03","5.5000000000000000","0.70710678118654752440","5.5000000000000000","0.70710678118654752440",6,7
"290","47","Alexander Albon",7,"2026-01-04","5.0000000000000000","1.00000000000000000000","5.0000000000000000","1.00000000000000000000",4,3
"291","47","Alexander Albon",3,"2026-01-05","5.5000000000000000","1.2909944487358056","5.5000000000000000","1.2909944487358056",7,17
"297","47","Alexander Albon",17,"2026-03-08","5.0000000000000000","1.5811388300841897","5.0000000000000000","1.5811388300841897",3,17
"298","47","Alexander Albon",17,"2026-03-15","7.4000000000000000","5.5946402922797458","7.0000000000000000","5.0990195135927848",17,7
"299","47","Alexander Albon",7,"2026-03-29","9.6000000000000000","6.9137544069774419","8.4285714285714286","5.9960304329098391",17,10
"300","47","Alexander Albon",10,"2026-05-03","10.2000000000000000","6.4187226143524850","8.2500000000000000","5.5741751471790489",7,4
"301","47","Alexander Albon",4,"2026-05-24","10.8000000000000000","6.1806148561449774","8.4444444444444444","5.2466920795657313",10,3
"302","47","Alexander Albon",3,"2026-06-07","11.0000000000000000","5.8736700622353653","8.0000000000000000","5.1424162068471708",4,1
"303","47","Alexander Albon",1,"2026-06-14","8.2000000000000000","5.6302753041036990","7.8000000000000000","5.3082744633051688",3,3
"304","47","Alexander Albon",3,"2026-06-28","5.0000000000000000","3.5355339059327376","7.3000000000000000","5.7164480035925961",1,8
"305","47","Alexander Albon",8,"2026-07-05","4.2000000000000000","3.4205262752974139","7.2000000000000000","5.7888782256246427",3,20
"306","47","Alexander Albon",20,"2026-07-19","3.8000000000000000","2.5884358211089569","7.3000000000000000","5.7936747118445187",8,14
"307","47","Alexander Albon",14,"2026-07-26","7.0000000000000000","7.7136243102707562","9.0000000000000000","6.7986926847903798",20,2
"308","47","Alexander Albon",2,"2026-08-23","9.2000000000000000","7.8549347546621926","8.7000000000000000","6.4644326037858024",14,2
"309","47","Alexander Albon",2,"2026-09-06","9.4000000000000000","7.6026311234992850","7.2000000000000000","6.0516297162187825",2,19
"310","47","Alexander Albon",19,"2026-09-13","9.2000000000000000","7.8230428862431785","6.7000000000000000","6.2725150015320365",2,16
"311","47","Alexander Albon",16,"2026-09-26","11.4000000000000000","8.8769364084688587","7.6000000000000000","7.3514926677814516",19,11
"312","47","Alexander Albon",11,"2026-10-11","10.6000000000000000","8.0498447189992429","8.8000000000000000","7.6710132606093469",16,5
"313","47","Alexander Albon",5,"2026-10-25","10.0000000000000000","7.8421935706790610","9.6000000000000000","7.4117024584998913",11,3
"314","47","Alexander Albon",3,"2026-11-01","10.6000000000000000","7.1624018317879932","10.0000000000000000","6.9920589878010103",5,11
"315","47","Alexander Albon",11,"2026-11-08","10.8000000000000000","6.8702256149270673","10.0000000000000000","6.9920589878010103",3,3
"316","47","Alexander Albon",3,"2026-11-22","9.2000000000000000","5.2153619241621190","10.3000000000000000","6.9610024820822723",11,14
"317","47","Alexander Albon",14,"2026-11-29","6.6000000000000000","4.0987803063838394","8.6000000000000000","6.3805259274695461",3,4
"294","48","Fernando Alonso",1,"2026-01-03","2.5000000000000000","0.70710678118654752440","2.5000000000000000","0.70710678118654752440",3,4
"295","48","Fernando Alonso",4,"2026-01-04","2.0000000000000000","1.00000000000000000000","2.0000000000000000","1.00000000000000000000",1,2
